NACA 6412
1.00000000	0.00000000
0.99758188	0.00092605
0.98960998	0.00367327
0.97640293	0.00814750
0.95808064	0.01419756
0.93481210	0.02162230
0.90681606	0.03017977
0.87436116	0.03959745
0.83776548	0.04958267
0.79739515	0.05983244
0.75366218	0.07004232
0.70702152	0.07991407
0.65796735	0.08916225
0.60702899	0.09752006
0.55476616	0.10474492
0.50176370	0.11062425
0.44862549	0.11498161
0.39587156	0.11767982
0.34305804	0.11798695
0.29199286	0.11546776
0.24335800	0.11030181
0.19780197	0.10277113
0.15592216	0.09324639
0.11824977	0.08216689
0.08523877	0.07001570
0.05725947	0.05729147
0.03459675	0.04447877
0.01745209	0.03201903
0.00594850	0.02028403
0.00013649	0.00955374
0.00000000	0.00000000
0.00534161	-0.00790951
0.01590390	-0.01380555
0.03149139	-0.01776779
0.05185780	-0.01992253
0.07671512	-0.02044052
0.10574424	-0.01953443
0.13860541	-0.01745542
0.17494724	-0.01448855
0.21441278	-0.01094637
0.25664200	-0.00716039
0.30127049	-0.00347006
0.34792497	-0.00020931
0.39621675	0.00230887
0.44684604	0.00425662
0.49823630	0.00603805
0.54976231	0.00752077
0.60088270	0.00860636
0.65104965	0.00923768
0.69971513	0.00939946
0.74633782	0.00911530
0.79039011	0.00844177
0.83136513	0.00746042
0.86878366	0.00626881
0.90220094	0.00497158
0.93121330	0.00367240
0.95546482	0.00246725
0.97465358	0.00143942
0.98853762	0.00065609
0.99694001	0.00016628
1.00000000	0.00000000

