0.00000,0.00000,0.00000,6.00000,30000.00000,-20.00000,-0.14900,1.08565
0.00000,0.00000,0.00000,6.00000,30000.00000,-19.00000,-0.17000,0.86241
0.00000,0.00000,0.00000,6.00000,30000.00000,-18.00000,-0.19500,0.82072
0.00000,0.00000,0.00000,6.00000,30000.00000,-17.00000,-0.22400,0.72135
0.00000,0.00000,0.00000,6.00000,30000.00000,-16.00000,-0.25800,0.90424
0.00000,0.00000,0.00000,6.00000,30000.00000,-15.00000,-0.29800,0.70539
0.00000,0.00000,0.00000,6.00000,30000.00000,-14.00000,-0.34300,0.59006
0.00000,0.00000,0.00000,6.00000,30000.00000,-13.00000,-0.39400,0.46326
0.00000,0.00000,0.00000,6.00000,30000.00000,-12.00000,-0.44600,0.33332
0.00000,0.00000,0.00000,6.00000,30000.00000,-11.00000,-0.49800,0.27517
0.00000,0.00000,0.00000,6.00000,30000.00000,-10.00000,-0.54200,0.19225
0.00000,0.00000,0.00000,6.00000,30000.00000,-9.00000,-0.57100,0.14714
0.00000,0.00000,0.00000,6.00000,30000.00000,-8.00000,-0.57800,0.11701
0.00000,0.00000,0.00000,6.00000,30000.00000,-7.00000,-0.55700,0.09256
0.00000,0.00000,0.00000,6.00000,30000.00000,-6.00000,-0.50800,0.07074
0.00000,0.00000,0.00000,6.00000,30000.00000,-5.00000,-0.43700,0.05776
0.00000,0.00000,0.00000,6.00000,30000.00000,-4.00000,-0.35800,0.04848
0.00000,0.00000,0.00000,6.00000,30000.00000,-3.00000,-0.27300,0.04210
0.00000,0.00000,0.00000,6.00000,30000.00000,-2.00000,-0.22800,0.02214
0.00000,0.00000,0.00000,6.00000,30000.00000,-1.00000,-0.11400,0.02161
0.00000,0.00000,0.00000,6.00000,30000.00000,0.00000,-0.00000,0.02068
0.00000,0.00000,0.00000,6.00000,30000.00000,1.00000,0.11400,0.02161
0.00000,0.00000,0.00000,6.00000,30000.00000,2.00000,0.22800,0.02214
0.00000,0.00000,0.00000,6.00000,30000.00000,3.00000,0.27300,0.04210
0.00000,0.00000,0.00000,6.00000,30000.00000,4.00000,0.35800,0.04848
0.00000,0.00000,0.00000,6.00000,30000.00000,5.00000,0.43700,0.05776
0.00000,0.00000,0.00000,6.00000,30000.00000,6.00000,0.50800,0.07074
0.00000,0.00000,0.00000,6.00000,30000.00000,7.00000,0.55700,0.09256
0.00000,0.00000,0.00000,6.00000,30000.00000,8.00000,0.57800,0.11701
0.00000,0.00000,0.00000,6.00000,30000.00000,9.00000,0.57100,0.14714
0.00000,0.00000,0.00000,6.00000,30000.00000,10.00000,0.54200,0.19225
0.00000,0.00000,0.00000,6.00000,30000.00000,11.00000,0.49800,0.27517
0.00000,0.00000,0.00000,6.00000,30000.00000,12.00000,0.44600,0.33332
0.00000,0.00000,0.00000,6.00000,30000.00000,13.00000,0.39400,0.46326
0.00000,0.00000,0.00000,6.00000,30000.00000,14.00000,0.34300,0.59006
0.00000,0.00000,0.00000,6.00000,30000.00000,15.00000,0.29800,0.70539
0.00000,0.00000,0.00000,6.00000,30000.00000,16.00000,0.25800,0.90424
0.00000,0.00000,0.00000,6.00000,30000.00000,17.00000,0.22400,0.72135
0.00000,0.00000,0.00000,6.00000,30000.00000,18.00000,0.19500,0.82072
0.00000,0.00000,0.00000,6.00000,30000.00000,19.00000,0.17000,0.86241
0.00000,0.00000,0.00000,6.00000,30000.00000,20.00000,0.14900,1.08565
0.00000,0.00000,0.00000,6.00000,430000.00000,-20.00000,-0.14900,0.24309
0.00000,0.00000,0.00000,6.00000,430000.00000,-19.00000,-0.17000,0.23442
0.00000,0.00000,0.00000,6.00000,430000.00000,-18.00000,-0.19500,0.20628
0.00000,0.00000,0.00000,6.00000,430000.00000,-17.00000,-0.22400,0.18978
0.00000,0.00000,0.00000,6.00000,430000.00000,-16.00000,-0.25900,0.24047
0.00000,0.00000,0.00000,6.00000,430000.00000,-15.00000,-0.29800,0.20317
0.00000,0.00000,0.00000,6.00000,430000.00000,-14.00000,-0.34400,0.17010
0.00000,0.00000,0.00000,6.00000,430000.00000,-13.00000,-0.39400,0.15653
0.00000,0.00000,0.00000,6.00000,430000.00000,-12.00000,-0.44700,0.12536
0.00000,0.00000,0.00000,6.00000,430000.00000,-11.00000,-0.49800,0.11496
0.00000,0.00000,0.00000,6.00000,430000.00000,-10.00000,-0.54200,0.09248
0.00000,0.00000,0.00000,6.00000,430000.00000,-9.00000,-0.57100,0.07680
0.00000,0.00000,0.00000,6.00000,430000.00000,-8.00000,-0.57800,0.06498
0.00000,0.00000,0.00000,6.00000,430000.00000,-7.00000,-0.55700,0.05333
0.00000,0.00000,0.00000,6.00000,430000.00000,-6.00000,-0.50800,0.04567
0.00000,0.00000,0.00000,6.00000,430000.00000,-5.00000,-0.43700,0.03991
0.00000,0.00000,0.00000,6.00000,430000.00000,-4.00000,-0.44600,0.01451
0.00000,0.00000,0.00000,6.00000,430000.00000,-3.00000,-0.33900,0.01402
0.00000,0.00000,0.00000,6.00000,430000.00000,-2.00000,-0.22800,0.01305
0.00000,0.00000,0.00000,6.00000,430000.00000,-1.00000,-0.11400,0.01251
0.00000,0.00000,0.00000,6.00000,430000.00000,0.00000,-0.00000,0.01235
0.00000,0.00000,0.00000,6.00000,430000.00000,1.00000,0.11400,0.01251
0.00000,0.00000,0.00000,6.00000,430000.00000,2.00000,0.22800,0.01305
0.00000,0.00000,0.00000,6.00000,430000.00000,3.00000,0.33900,0.01402
0.00000,0.00000,0.00000,6.00000,430000.00000,4.00000,0.44600,0.01451
